timestamp_utc,run_id,host,transport,parallelism,model,concurrency,max_tokens,prompt_chars,prompt_tokens_per_req,requests_ok,requests_failed,status,skip_reason,wall_s,total_prompt_tokens,total_completion_tokens,total_tps,ttft_mean_s,ttft_p50_s,ttft_p95_s,prefill_mean_s,decode_mean_s,decode_tps_mean,output_tps_mean,endpoint,socket_ifname,rdma_hca,vllm_extra_args,server_log,errors
2026-05-25T16:05:46+00:00,20260525T160243Z-llama-tp2-win,strix-1,solo,solo,unsloth/Meta-Llama-3.1-8B-Instruct,256,256,8868,1532.000000,256,0,ok,,115.532795,392192,65536,567.250190,8.018209,8.157872,8.163175,8.018209,107.453994,2.373225,2.216987,http://127.0.0.1:8000/v1/completions,,,,/tmp/vllm-pair-20260525T160243Z-llama-tp2-win/solo-unsloth_Meta-Llama-3.1-8B-Instruct.log,
2026-05-25T16:08:51+00:00,20260525T160243Z-llama-tp2-win,strix-1,usb4_rdma,tp2,unsloth/Meta-Llama-3.1-8B-Instruct,256,256,8868,1532.000000,256,0,ok,,85.406817,392192,65536,767.339220,4.980995,5.086141,5.090910,4.980995,80.375137,3.172774,2.999201,http://127.0.0.1:8000/v1/completions,br0.lan/br0.lan,"usb4_rdma0,usb4_rdma1,usb4_rdma5,usb4_rdma6",,/tmp/vllm-pair-20260525T160243Z-llama-tp2-win/usb4_rdma-unsloth_Meta-Llama-3.1-8B-Instruct.log,
